CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
1,admin,adminpass,g0t r00t?,User,System,Administrator,21381d611facf16c1b729fda76b528f4,ca5610e2c76bbfcce9b7257e61c22d8d6660a30d8968b53ba16b71ef2ae01bef
2,adrian,somepassword,Zombie Films Rock!,User,Adrian,Crenshaw,015cb2e1e1f621a55311b2bead9d6e3c,b043339d1388f20cca8066d166a192288a24365ab781bd7e641ef608535f92d3
3,patches,tortoise,meow,User,Patches,Pester,0a22e158fa95d64ea621abbf8168f3ed,ebc1da596308b22bb9f7811d4ac3944b1809543ee6e31aa2e561744e50f1fa63
4,jeremy,password,d1373 1337 speak,User,Jeremy,Druin,c6b141c0e008dd3372a68d58477b718b,8dc2d0ad6a5aaf810c80a384c5a7c67465dbd079bc2edc8c09b9b97c5acd83dc
5,bryce,password,I Love SANS,User,Bryce,Galbraith,48ff90abccee779ea9c570c9113673a6,6e1afd320ec2fe4b856f344f3291b88aa241272c2baa87cbd94f48f4a9a5ab4b
6,samurai,samurai,Carving fools,User,Samurai,WTF,14c39ced3dddf8426be539880b8c6e5a,d7d92c4477a35e00e292a06bdc0b3934f7ac3aa877af6f9d1f7340ac3d3aec7a
7,dodgerjim,password,Rome is burning,User,Jim,Rome,b43f53a3bc4f38a9c91d9ae3119b1f2c,4cfac130aea53a147221f331ca99bacd4b9861aa5af7bcee608b0a729656b3b4
8,bobby,password,Hank is my dad,User,Bobby,Hill,7e67537dce545eecd1f7a2d49e4e5305,d03fddc7c08abd00d6943c8e3b0625b1be3b5a042042c38a7e486466658ffbab
9,simba,password,I am a super-cat,User,Simba,Lion,19bdb3c2021d920fe2ed8f3dc62180cc,f3276aa37ae87a9688464bc08270bca67932ef2d43b51aa90424c231ed378187
10,dreveil,password,Preparation H,User,Dr.,Evil,424c87bc3975f666d1e1cff1fb80edb5,af12eb08526c5c70d6f5e01d11d97ceea3c10b603f6e3bdaa52320a08d22f980
11,scotty,password,Scotty do,User,Scotty,Evil,faa822af7aafb858287782ac4537b3e3,66ddc357f6a9fd7036880f0cc914aa73346a73757cd8ebaa178231fb7991c9f9
12,cal,password,C-A-T-S Cats Cats Cats,User,John,Calipari,5a5d3aaf7fb82bf89ce82ce41fb91af3,fecf56d7ecabd0f8147b298b7bb3feece6fa1123579e62eee5a316b0294f032d
13,john,password,Do the Duggie!,User,John,Wall,7d466a90ef2caca7eec2844bad64e978,e8336201de7e545e562213771e1045f94c710b1e4d0c8211bec8a68df4165c76
14,kevin,42,Doug Adams rocks,User,Kevin,Johnson,181c49120d30d2a88f2ebb24fa176a3c,dc7337565c8b29ffc0efc8b2d4d52cc8c4bec0bf076cfa752833babf8a0980dc
15,dave,set,Bet on S.E.T. FTW,User,Dave,Kennedy,e3c3913b8cccb20cdcb40a8182c831cb,e583454ddcbf425e61d96436116a4d8fb430e1f09d57785d8d264ff4178b32a9
16,rocky,stripes,treats?,User,Rocky,Paws,e34213f5c7f27d930ba2cbab40d14084,c338d88c4920ba85ab7694ffd84730fc3be6824fe11beb686c59c6bc1e727854
17,tim,lanmaster53,Because reconnaissance is hard to spell,User,Tim,Tomes,f1b53059863340d38e8a2e71f9489b8c,ce9d2d898e4f996b6e5db1f865e5d3234bfa5ec2aa70389409dae5a0f83c98ed
18,ABaker,SoSecret,Muffin tops only,User,Aaron,Baker,6fdfefe796efb3cafecb6b10c5ea0114,fd88ed0051966e17fdc9c5358a057c008f4d30efed1144890232f5c02a858a47
